NAME,GEO_ID,pop_est,pop_est_me,state,year
Nevada,0400000US32,2839172,-555555555,32,2016
New Hampshire,0400000US33,1327503,-555555555,33,2016
New Jersey,0400000US34,8915456,-555555555,34,2016
New Mexico,0400000US35,2082669,-555555555,35,2016
New York,0400000US36,19697457,-555555555,36,2016
North Carolina,0400000US37,9940828,-555555555,37,2016
North Dakota,0400000US38,736162,-555555555,38,2016
Ohio,0400000US39,11586941,-555555555,39,2016
Oklahoma,0400000US40,3875589,-555555555,40,2016
Oregon,0400000US41,3982267,-555555555,41,2016
Pennsylvania,0400000US42,12783977,-555555555,42,2016
Rhode Island,0400000US44,1054491,-555555555,44,2016
South Carolina,0400000US45,4834605,-555555555,45,2016
South Dakota,0400000US46,851058,-555555555,46,2016
Tennessee,0400000US47,6548009,-555555555,47,2016
Texas,0400000US48,26956435,-555555555,48,2016
Vermont,0400000US50,626249,-555555555,50,2016
Utah,0400000US49,2948427,-555555555,49,2016
Virginia,0400000US51,8310301,-555555555,51,2016
Washington,0400000US53,7073146,-555555555,53,2016
West Virginia,0400000US54,1846092,-555555555,54,2016
Wisconsin,0400000US55,5754798,-555555555,55,2016
Wyoming,0400000US56,583029,-555555555,56,2016
Puerto Rico,0400000US72,3529385,-555555555,72,2016
Alabama,0400000US01,4841164,-555555555,01,2016
Alaska,0400000US02,736855,-555555555,02,2016
Arizona,0400000US04,6728577,-555555555,04,2016
Arkansas,0400000US05,2968472,-555555555,05,2016
California,0400000US06,38654206,-555555555,06,2016
Colorado,0400000US08,5359295,-555555555,08,2016
Delaware,0400000US10,934695,-555555555,10,2016
District of Columbia,0400000US11,659009,-555555555,11,2016
Connecticut,0400000US09,3588570,-555555555,09,2016
Florida,0400000US12,19934451,-555555555,12,2016
Georgia,0400000US13,10099320,-555555555,13,2016
Idaho,0400000US16,1635483,-555555555,16,2016
Hawaii,0400000US15,1413673,-555555555,15,2016
Illinois,0400000US17,12851684,-555555555,17,2016
Indiana,0400000US18,6589578,-555555555,18,2016
Iowa,0400000US19,3106589,-555555555,19,2016
Kansas,0400000US20,2898292,-555555555,20,2016
Kentucky,0400000US21,4411989,-555555555,21,2016
Louisiana,0400000US22,4645670,-555555555,22,2016
Maine,0400000US23,1329923,-555555555,23,2016
Maryland,0400000US24,5959902,-555555555,24,2016
Massachusetts,0400000US25,6742143,-555555555,25,2016
Michigan,0400000US26,9909600,-555555555,26,2016
Minnesota,0400000US27,5450868,-555555555,27,2016
Mississippi,0400000US28,2986220,-555555555,28,2017
Missouri,0400000US29,6075300,-555555555,29,2017
Montana,0400000US30,1029862,-555555555,30,2017
Nebraska,0400000US31,1893921,-555555555,31,2017
Nevada,0400000US32,2887725,-555555555,32,2017
New Hampshire,0400000US33,1331848,-555555555,33,2017
New Jersey,0400000US34,8960161,-555555555,34,2017
New Mexico,0400000US35,2084828,-555555555,35,2017
New York,0400000US36,19798228,-555555555,36,2017
North Carolina,0400000US37,10052564,-555555555,37,2017
North Dakota,0400000US38,745475,-555555555,38,2017
Ohio,0400000US39,11609756,-555555555,39,2017
Oklahoma,0400000US40,3896251,-555555555,40,2017
Oregon,0400000US41,4025127,-555555555,41,2017
Pennsylvania,0400000US42,12790505,-555555555,42,2017
Rhode Island,0400000US44,1056138,-555555555,44,2017
South Carolina,0400000US45,4893444,-555555555,45,2017
South Dakota,0400000US46,855444,-555555555,46,2017
Tennessee,0400000US47,6597381,-555555555,47,2017
Texas,0400000US48,27419612,-555555555,48,2017
Vermont,0400000US50,624636,-555555555,50,2017
Utah,0400000US49,2993941,-555555555,49,2017
Virginia,0400000US51,8365952,-555555555,51,2017
Washington,0400000US53,7169967,-555555555,53,2017
West Virginia,0400000US54,1836843,-555555555,54,2017
Wisconsin,0400000US55,5763217,-555555555,55,2017
Wyoming,0400000US56,583200,-555555555,56,2017
Puerto Rico,0400000US72,3468963,-555555555,72,2017
Alabama,0400000US01,4850771,-555555555,01,2017
Alaska,0400000US02,738565,-555555555,02,2017
Arizona,0400000US04,6809946,-555555555,04,2017
Arkansas,0400000US05,2977944,-555555555,05,2017
California,0400000US06,38982847,-555555555,06,2017
Colorado,0400000US08,5436519,-555555555,08,2017
Delaware,0400000US10,943732,-555555555,10,2017
District of Columbia,0400000US11,672391,-555555555,11,2017
Connecticut,0400000US09,3594478,-555555555,09,2017
Florida,0400000US12,20278447,-555555555,12,2017
Georgia,0400000US13,10201635,-555555555,13,2017
Idaho,0400000US16,1657375,-555555555,16,2017
Hawaii,0400000US15,1421658,-555555555,15,2017
Illinois,0400000US17,12854526,-555555555,17,2017
Indiana,0400000US18,6614418,-555555555,18,2017
Iowa,0400000US19,3118102,-555555555,19,2017
Kansas,0400000US20,2903820,-555555555,20,2017
Kentucky,0400000US21,4424376,-555555555,21,2017
Louisiana,0400000US22,4663461,-555555555,22,2017
Maine,0400000US23,1330158,-555555555,23,2017
Maryland,0400000US24,5996079,-555555555,24,2017
Massachusetts,0400000US25,6789319,-555555555,25,2017
Michigan,0400000US26,9925568,-555555555,26,2017
Minnesota,0400000US27,5490726,-555555555,27,2017
Mississippi,0400000US28,2988762,-555555555,28,2018
Missouri,0400000US29,6090062,-555555555,29,2018
Montana,0400000US30,1041732,-555555555,30,2018
Nebraska,0400000US31,1904760,-555555555,31,2018
Nevada,0400000US32,2922849,-555555555,32,2018
New Hampshire,0400000US33,1343622,-555555555,33,2018
New Jersey,0400000US34,8881845,-555555555,34,2018
New Mexico,0400000US35,2092434,-555555555,35,2018
New York,0400000US36,19618453,-555555555,36,2018
North Carolina,0400000US37,10155624,-555555555,37,2018
North Dakota,0400000US38,752201,-555555555,38,2018
Ohio,0400000US39,11641879,-555555555,39,2018
Oklahoma,0400000US40,3918137,-555555555,40,2018
Oregon,0400000US41,4081943,-555555555,41,2018
Pennsylvania,0400000US42,12791181,-555555555,42,2018
Rhode Island,0400000US44,1056611,-555555555,44,2018
South Carolina,0400000US45,4955925,-555555555,45,2018
South Dakota,0400000US46,864289,-555555555,46,2018
Tennessee,0400000US47,6651089,-555555555,47,2018
Texas,0400000US48,27885195,-555555555,48,2018
Vermont,0400000US50,624977,-555555555,50,2018
Utah,0400000US49,3045350,-555555555,49,2018
Virginia,0400000US51,8413774,-555555555,51,2018
Washington,0400000US53,7294336,-555555555,53,2018
West Virginia,0400000US54,1829054,-555555555,54,2018
Wisconsin,0400000US55,5778394,-555555555,55,2018
Wyoming,0400000US56,581836,-555555555,56,2018
Puerto Rico,0400000US72,3386941,-555555555,72,2018
Alabama,0400000US01,4864680,-555555555,01,2018
Alaska,0400000US02,738516,-555555555,02,2018
Arizona,0400000US04,6946685,-555555555,04,2018
Arkansas,0400000US05,2990671,-555555555,05,2018
California,0400000US06,39148760,-555555555,06,2018
Colorado,0400000US08,5531141,-555555555,08,2018
Delaware,0400000US10,949495,-555555555,10,2018
District of Columbia,0400000US11,684498,-555555555,11,2018
Connecticut,0400000US09,3581504,-555555555,09,2018
Florida,0400000US12,20598139,-555555555,12,2018
Georgia,0400000US13,10297484,-555555555,13,2018
Idaho,0400000US16,1687809,-555555555,16,2018
Hawaii,0400000US15,1422029,-555555555,15,2018
Illinois,0400000US17,12821497,-555555555,17,2018
Indiana,0400000US18,6637426,-555555555,18,2018
Iowa,0400000US19,3132499,-555555555,19,2018
Kansas,0400000US20,2908776,-555555555,20,2018
Kentucky,0400000US21,4440204,-555555555,21,2018
Louisiana,0400000US22,4663616,-555555555,22,2018
Maine,0400000US23,1332813,-555555555,23,2018
Maryland,0400000US24,6003435,-555555555,24,2018
Massachusetts,0400000US25,6830193,-555555555,25,2018
Michigan,0400000US26,9957488,-555555555,26,2018
Minnesota,0400000US27,5527358,-555555555,27,2018
Alabama,0400000US01,4876250,-555555555,01,2019
Alaska,0400000US02,737068,-555555555,02,2019
Arizona,0400000US04,7050299,-555555555,04,2019
Arkansas,0400000US05,2999370,-555555555,05,2019
California,0400000US06,39283497,-555555555,06,2019
Colorado,0400000US08,5610349,-555555555,08,2019
Delaware,0400000US10,957248,-555555555,10,2019
District of Columbia,0400000US11,692683,-555555555,11,2019
Connecticut,0400000US09,3575074,-555555555,09,2019
Florida,0400000US12,20901636,-555555555,12,2019
Georgia,0400000US13,10403847,-555555555,13,2019
Idaho,0400000US16,1717750,-555555555,16,2019
Hawaii,0400000US15,1422094,-555555555,15,2019
Illinois,0400000US17,12770631,-555555555,17,2019
Indiana,0400000US18,6665703,-555555555,18,2019
Iowa,0400000US19,3139508,-555555555,19,2019
Kansas,0400000US20,2910652,-555555555,20,2019
Kentucky,0400000US21,4449052,-555555555,21,2019
Louisiana,0400000US22,4664362,-555555555,22,2019
Maine,0400000US23,1335492,-555555555,23,2019
Maryland,0400000US24,6018848,-555555555,24,2019
Massachusetts,0400000US25,6850553,-555555555,25,2019
Michigan,0400000US26,9965265,-555555555,26,2019
Minnesota,0400000US27,5563378,-555555555,27,2019
Mississippi,0400000US28,2984418,-555555555,28,2019
Missouri,0400000US29,6104910,-555555555,29,2019
Montana,0400000US30,1050649,-555555555,30,2019
Nebraska,0400000US31,1914571,-555555555,31,2019
Nevada,0400000US32,2972382,-555555555,32,2019
New Hampshire,0400000US33,1348124,-555555555,33,2019
New Jersey,0400000US34,8878503,-555555555,34,2019
New Mexico,0400000US35,2092454,-555555555,35,2019
New York,0400000US36,19572319,-555555555,36,2019
