,NAME,GEO_ID,pop_est_ov16,pop_est_ov16_me,employed,employed_me,unemployed,unemployed_me,armed_forces,armed_forces_me,non_labor_force,non_labor_force_me,state,year
4,Arkansas,0400000US05,2285328,1147,1253069,5264,117354,2956,6788,606,908117,4855,05,2012
5,California,0400000US06,29163075,4124,16614362,21043,2059444,11931,147620,2583,10341649,21051,06,2012
6,Colorado,0400000US08,3955983,1383,2498972,6444,218419,3273,32166,1038,1206426,5777,08,2012
7,Delaware,0400000US10,718553,657,422219,2705,38591,1331,3797,459,253946,2706,10,2012
8,District of Columbia,0400000US11,513352,401,308602,2074,36228,1380,3180,319,165342,2143,11,2012
9,Connecticut,0400000US09,2859923,1046,1762707,5695,177706,2922,8838,503,910672,5149,09,2012
10,Florida,0400000US12,15364895,3300,8220927,14177,1049899,7979,57613,1988,6036456,13821,12,2012
11,Georgia,0400000US13,7508748,2395,4277991,11079,511530,6202,55293,1639,2663934,9923,13,2012
12,Idaho,0400000US16,1188341,867,698702,3306,65289,1883,3635,423,420715,3543,16,2012
13,Hawaii,0400000US15,1093852,690,642284,3390,46224,1637,39220,1226,366124,2986,15,2012
14,Illinois,0400000US17,10079433,2454,6035426,10791,663891,5964,20659,865,3359457,10497,17,2012
15,Indiana,0400000US18,5067379,1653,2978847,8091,309363,3707,4677,551,1774492,7198,18,2012
16,Iowa,0400000US19,2405664,1206,1557331,4175,91676,2026,2473,370,754184,3216,19,2012
17,Kansas,0400000US20,2208363,1215,1395634,4659,100505,2193,17799,742,694425,4712,20,2012
18,Kentucky,0400000US21,3433526,1518,1859549,5815,194610,3319,17630,799,1361737,5613,21,2012
19,Louisiana,0400000US22,3542555,1550,1993119,5904,182864,3642,16321,990,1350251,5620,22,2012
20,Maine,0400000US23,1089755,683,651335,3054,52318,1432,2510,375,383592,2786,23,2012
21,Maryland,0400000US24,4598714,1552,2924344,7161,246720,3369,28226,1673,1399424,6313,24,2012
22,Massachusetts,0400000US25,5320423,1134,3302990,8449,305515,4158,5589,551,1706329,7457,25,2012
23,Michigan,0400000US26,7849558,1756,4269865,10096,614849,5437,4880,417,2959964,8309,26,2012
24,Minnesota,0400000US27,4180087,1300,2745021,5149,207462,2825,2826,308,1224778,4158,27,2012
25,Mississippi,0400000US28,2300867,1384,1204869,5411,143126,2721,13504,792,939368,5077,28,2012
26,Missouri,0400000US29,4729641,1646,2781791,7099,259574,3798,21195,845,1667081,5934,29,2012
27,Montana,0400000US30,794385,579,478254,2968,35541,1356,3553,418,277037,2608,30,2012
28,Nebraska,0400000US31,1419577,775,946986,2979,55912,1542,5636,417,411043,3046,31,2012
29,Nevada,0400000US32,2115306,1067,1237659,5315,166416,3575,10299,971,700932,4136,32,2012
30,New Hampshire,0400000US33,1068648,769,694736,2702,48926,1646,1668,289,323318,2415,33,2012
31,New Jersey,0400000US34,6985329,1995,4219677,7954,443328,4608,9333,576,2312991,6978,34,2012
32,New Mexico,0400000US35,1597923,1123,882461,4529,88267,2298,8891,660,618304,3912,35,2012
33,New York,0400000US36,15615122,2389,9073362,15534,869729,7578,26495,1010,5645536,14571,36,2012
34,North Carolina,0400000US37,7523670,2165,4246096,9958,497589,5928,88733,1805,2691252,10226,37,2012
35,North Dakota,0400000US38,543270,509,364782,1932,12709,646,5598,379,160181,1705,38,2012
36,Ohio,0400000US39,9138488,2021,5300141,10435,569218,5071,11158,777,3257971,8830,39,2012
37,Oklahoma,0400000US40,2924464,1045,1689965,5182,122629,2388,21515,982,1090355,4466,40,2012
38,Oregon,0400000US41,3072774,1326,1743524,6600,210379,3831,3182,433,1115689,5658,41,2012
39,Pennsylvania,0400000US42,10265643,2438,5930125,10579,548580,4889,8783,629,3778155,9783,42,2012
40,Rhode Island,0400000US44,857434,704,511323,3126,53904,1588,3573,430,288634,2836,44,2012
41,South Carolina,0400000US45,3675075,1511,1995222,7683,248835,4091,36502,1197,1394516,7028,45,2012
42,South Dakota,0400000US46,636670,528,416687,2241,21687,919,3401,431,194895,1919,46,2012
43,Tennessee,0400000US47,5030090,1555,2815491,8245,304598,3696,17197,1011,1892804,7366,47,2012
44,Texas,0400000US48,19110058,3462,11440956,17102,960408,7479,105827,2184,6602867,16144,48,2012
45,Vermont,0400000US50,513968,416,327499,1932,22911,981,586,124,162972,1768,50,2012
46,Utah,0400000US49,1984562,1122,1265221,3868,96504,2341,6527,593,616310,3760,49,2012
47,Virginia,0400000US51,6377782,2184,3867416,8558,286994,3758,122105,2470,2101267,8040,51,2012
48,Washington,0400000US53,5345975,1487,3150493,7663,309049,4146,52207,1311,1834226,6281,53,2012
49,West Virginia,0400000US54,1508549,921,760812,3619,65115,1834,1562,272,681060,3207,54,2012
50,Wisconsin,0400000US55,4512525,1310,2856318,5990,230456,2972,3897,406,1421854,5697,55,2012
51,Wyoming,0400000US56,442182,519,288847,1811,15537,860,2940,336,134858,1754,56,2012
52,Puerto Rico,0400000US72,2932131,1347,1121428,5875,242218,3905,1914,266,1566571,5896,72,2012
1,Alabama,0400000US01,3806434,1286,2002163,6337,241930,3304,15251,744,1547090,5475,01,2013
2,Alaska,0400000US02,553214,488,343366,2206,32939,1216,16732,698,160177,1889,02,2013
3,Arizona,0400000US04,5039711,1815,2721866,7857,316360,4247,18282,922,1983203,7756,04,2013
4,Arkansas,0400000US05,2301443,1294,1245432,4915,121235,2906,6308,545,928468,5300,05,2013
5,California,0400000US06,29516595,4166,16635854,19001,2168665,12673,141725,2329,10570351,18154,06,2013
6,Colorado,0400000US08,4023722,1479,2509777,6524,231741,3590,32972,997,1249232,5933,08,2013
7,Delaware,0400000US10,726364,684,422009,2403,41207,1407,3480,394,259668,2308,10,2013
8,District of Columbia,0400000US11,525070,395,315177,2349,38994,1294,3287,266,167612,2381,11,2013
9,Connecticut,0400000US09,2879150,1196,1759412,4514,190709,2541,8602,447,920427,4661,09,2013
10,Florida,0400000US12,15563534,3442,8202636,15647,1096028,7798,57145,1867,6207725,15838,12,2013
11,Georgia,0400000US13,7598174,2293,4254879,10457,544802,6094,52963,1396,2745530,10362,13,2013
12,Idaho,0400000US16,1201999,887,696190,3304,67189,1946,3270,420,435350,3156,16,2013
13,Hawaii,0400000US15,1104534,660,640072,3313,48748,1565,39975,1085,375739,3212,15,2013
14,Illinois,0400000US17,10124119,1897,5998320,10897,700616,5728,19300,923,3405883,9786,17,2013
15,Indiana,0400000US18,5099339,1635,2963879,7449,315476,4336,4052,438,1815932,6732,18,2013
16,Iowa,0400000US19,2420102,937,1553030,4074,94913,1937,2197,320,769962,3853,19,2013
17,Kansas,0400000US20,2222215,1251,1387071,4570,104341,2298,17775,789,713028,3846,20,2013
18,Kentucky,0400000US21,3454107,1519,1857767,7196,201987,2864,16801,774,1377552,6638,21,2013
19,Louisiana,0400000US22,3577960,1504,1995378,7484,192166,3156,15781,844,1374635,6463,22,2013
20,Maine,0400000US23,1092849,684,647099,2972,53866,1339,2101,346,389783,2800,23,2013
21,Maryland,0400000US24,4645779,1649,2926198,7119,260567,3593,27868,1731,1431146,6386,24,2013
22,Massachusetts,0400000US25,5371252,1644,3308547,6941,322730,3986,5070,566,1734905,7087,25,2013
23,Michigan,0400000US26,7865350,1696,4242948,9421,616469,6387,4597,498,3001336,8284,26,2013
24,Minnesota,0400000US27,4212737,1237,2748174,5534,210815,2938,2487,305,1251261,4622,27,2013
25,Mississippi,0400000US28,2312959,1411,1194436,5421,149148,3017,12103,787,957272,5461,28,2013
26,Missouri,0400000US29,4755870,1780,2770617,6750,267644,4121,20953,744,1696656,5983,29,2013
27,Montana,0400000US30,801199,663,477015,2689,37702,1130,3579,323,282903,2532,30,2013
28,Nebraska,0400000US31,1431428,788,948701,2997,57525,1675,5055,396,420147,2678,31,2013
29,Nevada,0400000US32,2143541,1259,1229604,4223,175142,3466,9474,786,729321,4551,32,2013
30,New Hampshire,0400000US33,1074477,668,690769,3053,51670,1571,1416,236,330622,2908,33,2013
31,New Jersey,0400000US34,7028795,1622,4197483,8824,472094,4692,8089,628,2351129,7757,34,2013
32,New Mexico,0400000US35,1612730,1074,876823,4027,94111,2443,8631,604,633165,4264,35,2013
33,New York,0400000US36,15717283,2752,9062757,13337,921607,7575,24823,896,5708096,13832,36,2013
34,North Carolina,0400000US37,7622230,2220,4234977,11535,527430,5286,87733,1757,2772090,9115,37,2013
35,North Dakota,0400000US38,553026,477,371612,1909,12617,735,5440,325,163357,1581,38,2013
36,Ohio,0400000US39,9170484,1772,5266386,10156,582953,5996,10177,736,3310968,8738,39,2013
37,Oklahoma,0400000US40,2950783,1116,1686404,5265,127842,2170,20120,943,1116417,4953,40,2013
38,Oregon,0400000US41,3106026,1313,1736894,5920,221191,4085,3202,420,1144739,5908,41,2013
39,Pennsylvania,0400000US42,10310404,1985,5914876,11100,581533,5124,7352,626,3806643,9918,42,2013
40,Rhode Island,0400000US44,859385,598,509865,2934,56125,1613,3185,326,290210,2475,44,2013
41,South Carolina,0400000US45,3720700,1493,2003023,7302,258444,4660,34188,1182,1425045,6049,45,2013
42,South Dakota,0400000US46,643377,605,418991,2279,22250,949,2970,324,199166,2215,46,2013
43,Tennessee,0400000US47,5078433,1738,2806948,8635,316682,4539,17035,866,1937768,8091,47,2013
44,Texas,0400000US48,19468136,3853,11569041,16244,1020132,8325,101858,2243,6777105,15841,48,2013
45,Vermont,0400000US50,515484,433,324350,1823,23546,888,599,141,166989,1650,50,2013
46,Utah,0400000US49,2021139,1190,1275709,4319,101449,2431,5207,481,638774,4293,49,2013
47,Virginia,0400000US51,6453616,2235,3885351,8538,303129,4380,115131,2220,2150005,8466,51,2013
48,Washington,0400000US53,5416136,1608,3149730,6852,327155,4061,49891,1493,1889360,5891,53,2013
49,West Virginia,0400000US54,1512388,951,755632,3844,69351,2019,1242,201,686163,4118,54,2013
50,Wisconsin,0400000US55,4537877,1673,2839636,6287,239464,3485,3281,341,1455496,5200,55,2013
51,Wyoming,0400000US56,448295,650,289823,1844,16760,1035,2936,375,138776,1874,56,2013
52,Puerto Rico,0400000US72,2925380,1154,1099138,5540,247824,3462,1482,262,1576936,5786,72,2013
1,Mississippi,0400000US28,2323223,1461,1198828,5237,147210,2814,10936,726,966249,5229,28,2014
2,Missouri,0400000US29,4781853,1710,2779991,7599,254534,3771,19994,799,1727334,6691,29,2014
