,NAME,GEO_ID,est_households,est_households_me,under_10k,under_10k_me,bw_10_15k,bw_10_15k_me,bw_15_25k,bw_15_25k_me,bw_25_35k,bw_25_35k_me,bw_35_50k,bw_35_50k_me,bw_50_75k,bw_50_75k_me,bw_75_100k,bw_75_100k_me,bw_100_150k,bw_100_150k_me,bw_150_200k,bw_150_200k_me,over_200k,over_200k_me,median_hh_income,median_hh_income_me,mean_hh_income,mean_hh_income_me,state,year
20,Maine,0400000US23,551601,2170,37905,1233,35608,984,66739,1524,63290,1655,82409,1487,109235,1699,69190,1496,57563,1362,16662,800,13000,674,47898,418,61967,498,23,2011
21,Maryland,0400000US24,2128377,5413,106531,1862,70539,1923,145089,2553,160636,2530,239311,2878,377066,3816,296550,3101,383753,4158,177375,2846,171527,2617,72419,371,94020,386,24,2011
22,Massachusetts,0400000US25,2522409,4911,164071,2944,129435,2648,211996,3125,197756,3197,280032,4104,416286,3801,337712,3759,418394,3904,183992,2763,182735,2719,65981,328,88577,419,25,2011
23,Michigan,0400000US26,3825182,10705,303506,3263,218084,2824,443591,3699,425215,3736,565405,4277,715754,4844,463228,3857,438559,4078,139877,2527,111963,2024,48669,167,64478,218,26,2011
24,Minnesota,0400000US27,2094265,5691,119898,1807,96772,1856,193578,2888,198877,2338,284248,2747,414238,3149,298649,3025,298159,2987,100941,1851,88905,1540,58476,235,75432,291,27,2011
25,Mississippi,0400000US28,1085062,3884,123615,2368,89679,2180,154383,2651,130287,3097,157344,2769,183764,2886,109100,2516,88881,2129,25975,990,22034,1128,38718,372,53861,462,28,2011
26,Missouri,0400000US29,2354104,6302,181836,2871,142022,2504,279016,3893,274293,3090,357812,3741,448357,3789,280741,3017,249699,2890,76263,1816,64065,1495,47202,185,62979,240,29,2011
27,Montana,0400000US30,403495,1965,28977,1062,25774,906,52405,1421,49657,1550,63538,1520,78137,1718,47826,1235,38686,1074,10219,619,8276,597,45324,418,58849,551,30,2011
28,Nebraska,0400000US31,715703,2227,43938,1363,39830,1091,80024,1603,82026,1728,106903,1952,146221,1980,94334,1584,80124,1646,22574,810,19729,769,50695,319,64905,404,31,2011
29,Nevada,0400000US32,986741,4363,57736,1807,40750,1509,95157,2227,105403,2344,142216,3039,201783,3279,133409,2814,131972,2074,42671,1300,35644,1309,55553,449,72457,606,32,2011
30,New Hampshire,0400000US33,514869,1627,22784,1069,20563,923,42754,1298,44964,1384,66611,1487,97963,2089,75254,1609,86200,1576,32118,1185,25658,904,64664,516,81537,655,33,2011
31,New Jersey,0400000US34,3180854,6154,164605,2955,123004,2490,249950,3071,251346,3286,346154,3705,527140,4786,421305,4168,557039,4581,259775,3283,280536,2883,71180,323,95812,358,34,2011
32,New Mexico,0400000US35,762002,2771,68990,1586,48812,1473,97586,1916,89237,1954,113478,2297,133405,2414,85299,1983,79028,1963,25930,1021,20237,901,44631,391,60880,523,35,2011
